product_name,mfr_part_num,mfr_brand,source_category,data_source
"Subaru Legacy Brake Pads - Front","BP-SL-001","Subaru","Brake System","manufacturer_db"
"Automotive Brake Pad Set - Universal","BP-UNI-2024","AutoZone","Brake System","supplier_catalog"
"Honda Civic Brake Pads - Rear","BP-HC-R01","Honda","Brake System","manufacturer_db"
"Premium Brake Pad Kit - Sedan","BPK-SED-001","Brembo","Brake System","parts_database"
"Subaru Outback Oil Filter","OF-SO-2024","Subaru","Engine","manufacturer_db"
"Toyota Camry Spark Plugs Set","SP-TC-4CYL","Toyota","Engine","manufacturer_db"
"Universal Air Filter - Sedan","AF-UNI-SED","K&N","Engine","supplier_catalog"
"Subaru WRX Turbo Air Filter","AF-SW-TURBO","Subaru","Engine","manufacturer_db"
"Honda Accord Transmission Fluid","TF-HA-AUTO","Honda","Transmission","manufacturer_db"
"Universal Power Steering Fluid","PSF-UNI-001","Valvoline","Steering","supplier_catalog"
"Automotive LED Headlight Bulbs","LED-H7-6000K","Philips","Lighting","parts_database"
"Subaru Forester Wiper Blades","WB-SF-22","Subaru","Accessories","manufacturer_db"
"Universal Floor Mats - Sedan","FM-UNI-SED4","WeatherTech","Interior","supplier_catalog"
"Honda CR-V Cabin Air Filter","CAF-HCV-001","Honda","HVAC","manufacturer_db"
"High Performance Brake Fluid","BF-DOT4-HP","Motul","Brake System","parts_database"
